incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own,Switched,Stayed
1,0,0,166,6,0.5,1,1,165,14,3,2,2,0,0,0,1,6,1,0,1,0,1,1,0,1,0,0,0,0,0.5,Not Changed,Stayed Grape
1,0,6,95,6,1,0,0,117,10,3,3,2,0,0,0,1,8,1,6,0,1,1,1,1,0,1,1,1,1,1,Not Changed,Stayed Cookie
0,0,6,6,6,0,1,1,22,3,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,1,0,1,0,0,Not Changed,Stayed Grape
0,0,4,196,6,0,1,1,197,17,2,3,2,0,0,0,0,2,0,4,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
0,0,4,44,6,0.1666666716337204,1,1,41,4,3,3,2,0,0,0,1,5,1,4,0,1,1,1,0,0,0,0,0,0,0.1666666716337204,Not Changed,Stayed Grape
1,0,8,241,6,0.6666666865348816,0,0,271,25,2,3,2,0,0,0,0,6,0,8,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Cookie
0,0,3,48,6,0,0,0,44,4,2,3,2,0,0,0,0,2,0,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
1,0,0,166,6,0.5,1,1,165,14,3,2,2,0,0,0,1,6,1,0,1,0,1,1,0,1,0,0,0,0,0.5,Not Changed,Stayed Grape
0,0,2,82,6,0.5,0,0,72,6,3,6,3,0,0,0,1,5,1,2,0,0,0,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Cookie
1,0,7,68,6,1,1,1,79,7,3,3,2,0,0,0,1,8,1,7,0,1,1,1,1,0,1,1,1,1,0.8333333134651184,Not Changed,Stayed Grape
1,0,2,135,6,0.5,0,0,132,11,2,3,2,0,0,0,0,6,0,2,0,1,1,1,0,0,1,1,1,0,0.3333333432674408,Not Changed,Stayed Cookie
1,0,0,141,6,1,0,0,134,11,2,3,2,0,0,0,0,8,0,0,0,1,1,1,0,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Cookie
0,0,8,241,6,0.6666666865348816,1,1,271,25,2,3,2,0,0,0,0,5,0,8,0,1,1,1,1,0,0,0,0,0,0.6666666865348816,Not Changed,Stayed Grape
0,0,6,122,6,0,0,0,127,10,2,4,2,0,0,0,0,2,0,6,0,0,1,1,1,0,1,0,0,0,0,Not Changed,Stayed Cookie
0,0,2,186,6,0,0,0,185,16,3,2,2,0,0,0,1,2,1,2,1,0,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
1,0,0,141,6,1,1,1,134,11,2,2,2,0,0,0,0,8,0,0,1,0,1,1,0,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Grape
0,0,6,122,6,0,0,1,127,10,2,3,2,1,1,0,0,2,0,6,0,1,1,1,1,0,1,0,0,0,0,Cookie to Grape,Changed
0,0,0,166,6,0.5,1,0,165,14,2,2,2,-1,0,1,0,5,0,0,1,0,1,1,0,1,0,0,0,0,0,Grape to Cookie,Changed
0,0,7,97,6,0.1666666716337204,1,1,118,10,2,3,2,0,0,0,0,5,0,7,0,1,1,1,1,0,0,0,0,0,0.1666666716337204,Not Changed,Stayed Grape
1,0,0,141,6,1,0,0,134,11,2,2,2,0,0,0,0,8,0,0,1,0,1,1,0,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Cookie
0,0,1,44,6,0.1666666716337204,1,1,41,4,3,3,2,0,0,0,1,5,1,1,0,1,1,1,0,0,1,0,1,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,7,66,6,0.6666666865348816,0,0,78,7,2,3,3,0,0,0,0,5,0,7,0,1,0,1,1,0,1,1,0,0,0.5,Not Changed,Stayed Cookie
0,0,6,6,6,0,1,1,22,3,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,1,0,0,0,0,Not Changed,Stayed Grape
0,0,4,196,6,0,0,0,197,17,2,3,2,0,0,0,0,2,0,4,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Cookie
0,0,0,136,6,0.6666666865348816,1,1,133,11,3,2,2,0,0,0,1,5,1,0,1,0,1,1,0,1,0,0,0,0,0.5,Not Changed,Stayed Grape
1,0,0,254,6,0.6666666865348816,1,1,240,22,3,2,2,0,0,0,1,6,1,0,1,0,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
1,0,5,38,6,0.6666666865348816,1,1,50,5,3,3,2,0,0,0,1,6,1,5,0,1,1,1,1,1,0,0,0,0,0.5,Not Changed,Stayed Grape
1,0,6,95,6,1,0,0,117,10,3,2,2,0,0,0,1,8,1,6,1,0,1,1,1,1,0,0,0,0,1,Not Changed,Stayed Cookie
0,0,2,135,6,0.5,0,0,132,11,2,2,2,0,0,0,0,5,0,2,1,0,1,1,0,0,1,1,1,0,0.3333333432674408,Not Changed,Stayed Cookie
1,0,7,68,6,1,1,1,79,7,3,2,2,0,0,0,1,8,1,7,1,0,1,1,1,1,0,0,0,0,0.8333333134651184,Not Changed,Stayed Grape
0,0,5,121,6,0.1666666716337204,1,1,113,9,3,3,2,0,0,0,1,5,1,5,0,1,1,1,1,0,1,0,1,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,8,83,6,0.6666666865348816,1,1,86,7,2,3,2,0,0,0,0,5,0,8,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Grape
1,0,3,243,6,0.3333333432674408,0,0,245,23,2,3,2,0,0,0,0,6,0,3,0,1,1,1,0,0,1,0,0,0,0.3333333432674408,Not Changed,Stayed Cookie
0,0,1,215,6,0.5,0,0,213,19,2,2,2,0,0,0,0,5,0,1,1,0,1,1,0,0,0,0,0,0,0.3333333432674408,Not Changed,Stayed Cookie
0,0,7,97,6,0.1666666716337204,0,0,118,10,2,2,2,0,0,0,0,5,0,7,1,0,1,1,1,0,1,1,0,0,0.1666666716337204,Not Changed,Stayed Cookie
1,0,7,68,6,1,1,1,79,7,3,3,3,0,0,0,1,8,1,7,0,1,0,1,1,1,0,0,0,0,0.8333333134651184,Not Changed,Stayed Grape
1,0,7,261,6,0.6666666865348816,1,1,278,25,2,3,2,0,0,0,0,6,0,7,0,1,1,1,1,0,1,1,1,0,0.5,Not Changed,Stayed Grape
1,0,1,257,6,0.3333333432674408,1,1,248,23,2,2,2,0,0,0,0,6,0,1,1,0,1,1,0,0,0,0,1,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,7,261,6,0.6666666865348816,0,0,278,25,2,3,2,0,0,0,0,5,0,7,0,1,1,1,1,0,1,1,1,0,0.5,Not Changed,Stayed Cookie
1,0,2,135,6,0.5,0,0,132,11,3,2,2,0,0,0,1,6,1,2,1,0,1,1,0,0,1,0,1,1,0.1666666716337204,Not Changed,Stayed Cookie
0,0,3,243,6,0.3333333432674408,1,1,245,23,2,3,2,0,0,0,0,5,0,3,0,1,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,6,122,6,0,0,0,127,10,2,3,2,0,0,0,0,2,0,6,0,1,1,1,1,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,3,33,6,0,0,0,19,2,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Cookie
1,0,7,261,6,0.6666666865348816,1,1,278,25,3,3,2,0,0,0,1,6,1,7,0,1,1,1,1,1,0,0,0,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,3,243,6,0.3333333432674408,0,0,245,23,2,3,2,0,0,0,0,5,0,3,0,1,1,1,0,0,1,1,0,0,0.3333333432674408,Not Changed,Stayed Cookie
1,0,8,83,6,0.6666666865348816,1,1,86,7,2,6,3,0,0,0,0,6,0,8,0,0,0,1,1,0,0,0,0,0,0.6666666865348816,Not Changed,Stayed Grape
0,0,0,254,6,0.6666666865348816,1,1,240,22,3,2,2,0,0,0,1,5,1,0,1,0,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,6,6,6,0,1,1,22,3,3,3,4,0,0,0,1,2,1,6,0,1,0,1,1,0,0,0,1,0,0,Not Changed,Stayed Grape
0,0,3,48,6,0,1,1,44,4,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,0,0,0,0,0,Not Changed,Stayed Grape
1,0,0,254,6,0.6666666865348816,1,1,240,22,3,2,2,0,0,0,1,6,1,0,1,0,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,1,76,6,0.3333333432674408,1,1,69,6,2,3,2,0,0,0,0,5,0,1,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
0,0,6,203,6,0.3333333432674408,1,1,207,18,2,3,2,0,0,0,0,5,0,6,0,1,1,1,1,0,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,1,215,6,0.5,0,0,213,19,3,2,2,0,0,0,1,5,1,1,1,0,1,1,0,0,0,0,0,0,0.1666666716337204,Not Changed,Stayed Cookie
0,0,6,203,6,0.3333333432674408,0,0,207,18,2,2,2,0,0,0,0,5,0,6,1,0,1,1,1,0,1,0,0,0,0.3333333432674408,Not Changed,Stayed Cookie
0,0,6,203,6,0.3333333432674408,1,1,207,18,2,2,2,0,0,0,0,5,0,6,1,0,1,1,1,0,1,1,1,0,0.3333333432674408,Not Changed,Stayed Grape
1,0,8,241,6,0.6666666865348816,0,0,271,25,2,3,2,0,0,0,0,6,0,8,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Cookie
0,0,3,33,6,0,0,0,19,2,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,4,196,6,0,1,1,197,17,2,3,2,0,0,0,0,2,0,4,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
1,0,1,257,6,0.3333333432674408,0,0,248,23,2,3,2,0,0,0,0,6,0,1,0,1,1,1,0,0,1,0,0,0,0.3333333432674408,Not Changed,Stayed Cookie
1,0,7,66,6,0.6666666865348816,1,1,78,7,3,3,2,0,0,0,1,6,1,7,0,1,1,1,1,1,0,0,0,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,1,257,6,0.3333333432674408,0,1,248,23,2,2,2,1,1,0,0,5,0,1,1,0,1,1,0,0,1,1,0,0,0.3333333432674408,Cookie to Grape,Changed
0,0,2,135,6,0.5,1,1,132,11,2,3,2,0,0,0,0,5,0,2,0,1,1,1,0,0,1,0,1,0,0.3333333432674408,Not Changed,Stayed Grape
1,0,7,66,6,0.6666666865348816,1,1,78,7,2,2,4,0,0,0,0,6,0,7,1,0,0,1,1,0,1,0,1,0,0.5,Not Changed,Stayed Grape
0,0,1,76,6,0.3333333432674408,1,1,69,6,2,3,2,0,0,0,0,5,0,1,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Grape
1,0,0,254,6,0.6666666865348816,1,1,240,22,2,2,2,0,0,0,0,6,0,0,1,0,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,6,203,6,0.3333333432674408,1,1,207,18,2,3,2,0,0,0,0,5,0,6,0,1,1,1,1,0,1,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
1,0,0,141,6,1,1,1,134,11,3,3,2,0,0,0,1,8,1,0,0,1,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,4,196,6,0,1,1,197,17,2,3,4,0,0,0,0,2,0,4,0,1,0,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
1,0,7,68,6,1,1,1,79,7,3,3,2,0,0,0,1,8,1,7,0,1,1,1,1,1,0,0,0,0,0.8333333134651184,Not Changed,Stayed Grape
1,0,2,243,6,0.3333333432674408,1,1,245,23,2,2,2,0,0,0,0,6,0,2,1,0,1,1,0,0,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
1,0,8,241,6,0.6666666865348816,1,1,271,25,2,3,2,0,0,0,0,6,0,8,0,1,1,1,1,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Grape
0,0,1,193,6,0.6666666865348816,1,1,187,16,3,2,4,0,0,0,1,5,1,1,1,0,0,1,0,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Grape
1,0,1,195,6,0.6666666865348816,0,1,188,16,3,6,2,1,1,0,1,6,1,1,0,0,1,1,0,0,1,1,1,1,0.5,Cookie to Grape,Changed
1,0,7,261,6,0.6666666865348816,1,1,278,25,2,3,2,0,0,0,0,6,0,7,0,1,1,1,1,0,1,1,1,0,0.5,Not Changed,Stayed Grape
1,0,1,195,6,0.6666666865348816,1,1,188,16,3,3,2,0,0,0,1,6,1,1,0,1,1,1,0,1,0,0,0,0,0.5,Not Changed,Stayed Grape
0,0,6,122,6,0,0,0,127,10,2,2,2,0,0,0,0,2,0,6,1,0,1,1,1,0,1,0,0,0,0,Not Changed,Stayed Cookie
0,0,0,136,6,0.6666666865348816,1,1,133,11,3,2,2,0,0,0,1,5,1,0,1,0,1,1,0,1,0,0,0,0,0.5,Not Changed,Stayed Grape
1,0,2,82,6,0.5,1,1,72,6,3,3,3,0,0,0,1,6,1,2,0,1,0,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,2,186,6,0,1,1,185,16,3,2,2,0,0,0,1,2,1,2,1,0,1,1,0,1,0,0,0,0,0,Not Changed,Stayed Grape
0,0,2,186,6,0,1,1,185,16,3,3,2,0,0,0,1,2,1,2,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Grape
0,0,3,33,6,0,0,0,19,2,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Cookie
1,0,6,203,6,0.3333333432674408,1,1,207,18,2,2,2,0,0,0,0,6,0,6,1,0,1,1,1,0,1,1,1,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,7,97,6,0.1666666716337204,0,0,118,10,2,2,2,0,0,0,0,5,0,7,1,0,1,1,1,1,0,0,0,0,0.1666666716337204,Not Changed,Stayed Cookie
0,0,6,50,6,0.5,1,1,54,5,3,4,2,0,0,0,1,5,1,6,0,0,1,1,1,0,1,1,1,0,0.5,Not Changed,Stayed Grape
0,0,1,195,6,0.6666666865348816,0,0,188,16,3,3,2,0,0,0,1,5,1,1,0,1,1,1,0,0,0,0,0,0,0.5,Not Changed,Stayed Cookie
1,0,7,66,6,0.6666666865348816,1,1,78,7,2,6,3,0,0,0,0,6,0,7,0,0,0,1,1,0,0,0,0,0,0.5,Not Changed,Stayed Grape
0,0,5,121,6,0.1666666716337204,1,1,113,9,3,3,2,0,0,0,1,5,1,5,0,1,1,1,1,0,1,1,1,0,0.1666666716337204,Not Changed,Stayed Grape
1,0,1,193,6,0.6666666865348816,1,0,187,16,3,3,2,-1,0,1,1,6,1,1,0,1,1,1,0,0,1,1,1,1,0.6666666865348816,Grape to Cookie,Changed
0,0,0,254,6,0.6666666865348816,1,1,240,22,3,3,2,0,0,0,1,5,1,0,0,1,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,6,50,6,0.5,1,1,54,5,3,3,2,0,0,0,1,5,1,6,0,1,1,1,1,0,1,1,1,0,0.5,Not Changed,Stayed Grape
1,0,8,83,6,0.6666666865348816,0,0,86,7,2,3,2,0,0,0,0,6,0,8,0,1,1,1,1,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Cookie
1,0,2,82,6,0.5,1,1,72,6,3,3,2,0,0,0,1,6,1,2,0,1,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,0,166,6,0.5,0,0,165,14,3,2,2,0,0,0,1,5,1,0,1,0,1,1,0,1,0,0,0,0,0.5,Not Changed,Stayed Cookie
0,0,3,119,6,0,0,0,112,9,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,1,257,6,0.3333333432674408,1,1,248,23,3,2,2,0,0,0,1,5,1,1,1,0,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
1,0,7,261,6,0.6666666865348816,1,1,278,25,2,3,2,0,0,0,0,6,0,7,0,1,1,1,1,0,1,1,1,0,0.5,Not Changed,Stayed Grape
0,0,3,48,6,0,0,0,44,4,2,3,2,0,0,0,0,2,0,3,0,1,1,1,0,0,0,0,0,0,0,Not Changed,Stayed Cookie
1,0,6,203,6,0.3333333432674408,1,1,207,18,2,3,2,0,0,0,0,6,0,6,0,1,1,1,1,0,0,0,1,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,3,119,6,0,0,0,112,9,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,1,0,0,0,0,0,Not Changed,Stayed Cookie
1,0,6,50,6,0.5,1,1,54,5,3,3,2,0,0,0,1,6,1,6,0,1,1,1,1,0,1,1,0,0,0.5,Not Changed,Stayed Grape
1,0,0,141,6,1,1,1,134,11,2,2,4,0,0,0,0,8,0,0,1,0,0,1,0,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Grape
1,0,7,66,6,0.6666666865348816,1,1,78,7,2,2,2,0,0,0,0,6,0,7,1,0,1,1,1,0,0,0,0,0,0.5,Not Changed,Stayed Grape
0,0,3,119,6,0,0,0,112,9,3,2,2,0,0,0,1,2,1,3,1,0,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,6,6,6,0,0,0,22,3,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,1,0,1,0,0,Not Changed,Stayed Cookie
1,0,1,177,6,1,0,0,170,14,3,2,2,0,0,0,1,8,1,1,1,0,1,1,0,0,0,0,0,0,0.5,Not Changed,Stayed Cookie
0,0,5,38,6,0.6666666865348816,0,0,50,5,2,3,2,0,0,0,0,5,0,5,0,1,1,1,1,0,0,0,0,0,0.1666666716337204,Not Changed,Stayed Cookie
1,0,1,76,6,0.3333333432674408,1,1,69,6,3,2,2,0,0,0,1,6,1,1,1,0,1,1,0,0,1,1,0,0,0.3333333432674408,Not Changed,Stayed Grape
1,0,8,83,6,0.6666666865348816,1,1,86,7,2,3,2,0,0,0,0,6,0,8,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Grape
1,0,2,215,6,0.5,1,1,213,19,2,2,2,0,0,0,0,6,0,2,1,0,1,1,0,0,0,0,1,1,0.3333333432674408,Not Changed,Stayed Grape
0,0,5,121,6,0.1666666716337204,1,1,113,9,3,2,2,0,0,0,1,5,1,5,1,0,1,1,1,0,1,1,1,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,2,186,6,0,0,0,185,16,2,2,2,0,0,0,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,Not Changed,Stayed Cookie
0,0,3,48,6,0,1,1,44,4,2,3,2,0,0,0,0,2,0,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Grape
0,0,6,50,6,0.5,1,1,54,5,3,3,2,0,0,0,1,5,1,6,0,1,1,1,1,0,0,0,0,0,0.5,Not Changed,Stayed Grape
0,0,5,38,6,0.6666666865348816,1,0,50,5,3,3,2,-1,0,1,1,5,1,5,0,1,1,1,1,0,1,1,0,0,0.5,Grape to Cookie,Changed
1,0,6,50,6,0.5,1,1,54,5,3,3,2,0,0,0,1,6,1,6,0,1,1,1,1,0,1,1,0,0,0.5,Not Changed,Stayed Grape
1,0,1,177,6,1,1,0,170,14,2,2,2,-1,0,1,0,8,0,1,1,0,1,1,0,0,0,0,0,0,0.5,Grape to Cookie,Changed
0,0,1,44,6,0.1666666716337204,1,1,41,4,3,3,2,0,0,0,1,5,1,1,0,1,1,1,0,0,1,0,1,0,0.1666666716337204,Not Changed,Stayed Grape
0,0,2,215,6,0.5,0,1,213,19,3,3,2,1,1,0,1,5,1,2,0,1,1,1,0,0,0,0,0,0,0.1666666716337204,Cookie to Grape,Changed
1,0,1,177,6,1,0,1,170,14,3,2,2,1,1,0,1,8,1,1,1,0,1,1,0,1,0,0,0,0,0.5,Cookie to Grape,Changed
0,0,3,33,6,0,0,0,19,2,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,4,196,6,0,0,0,197,17,2,2,2,0,0,0,0,2,0,4,1,0,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,1,195,6,0.6666666865348816,0,1,188,16,3,2,2,1,1,0,1,5,1,1,1,0,1,1,0,0,1,1,0,0,0.5,Cookie to Grape,Changed
1,0,5,38,6,0.6666666865348816,0,0,50,5,3,3,2,0,0,0,1,6,1,5,0,1,1,1,1,1,0,0,0,0,0.5,Not Changed,Stayed Cookie
1,0,7,68,6,1,0,0,79,7,3,3,2,0,0,0,1,8,1,7,0,1,1,1,1,0,0,0,0,0,0.8333333134651184,Not Changed,Stayed Cookie
1,0,1,177,6,1,0,0,170,14,2,2,2,0,0,0,0,8,0,1,1,0,1,1,0,0,1,1,0,0,0.5,Not Changed,Stayed Cookie
0,0,3,119,6,0,0,0,112,9,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,7,66,6,0.6666666865348816,0,0,78,7,3,3,2,0,0,0,1,5,1,7,0,1,1,1,1,1,0,0,0,0,0.1666666716337204,Not Changed,Stayed Cookie
0,0,8,83,6,0.6666666865348816,1,1,86,7,2,3,2,0,0,0,0,5,0,8,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Grape
0,0,2,82,6,0.5,1,1,72,6,3,2,3,0,0,0,1,5,1,2,1,0,0,1,0,0,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,3,48,6,0,1,1,44,4,2,3,2,0,0,0,0,2,0,3,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
0,0,3,48,6,0,0,0,44,4,2,4,2,0,0,0,0,2,0,3,0,0,1,1,0,0,0,0,1,0,0,Not Changed,Stayed Cookie
1,0,8,241,6,0.6666666865348816,0,0,271,25,2,3,2,0,0,0,0,6,0,8,0,1,1,1,1,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Cookie
